plant_id,animal,common,group,rank,family,order,category,raw,part,stage,use,evidence,scope,weight,sources,citations,urls
CAND3295,Diprion similis,,Other insects,species,,,Insect host / plant tissue use,host in native range,leaf/stem/seed/plant tissue,,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,"Baine, Q.; Looney, C.; Monckton, S. K.; Smith, D. R.; Schiff, N. M.; Goulet, H.; & Redford, A. J. Sawfly GenUS: Guide to Symphyta genera of North America and species of economic significance. USDA/APHIS PPQ IDtools. Source worksheet: Sawfly.csv.",https://idtools.org/sawfly/index.cfm
CAND3296,Zadiprion falsus,,Other insects,species,,,Insect host / plant tissue use,larval host,leaf/stem/seed/plant tissue,larva,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,"Baine, Q.; Looney, C.; Monckton, S. K.; Smith, D. R.; Schiff, N. M.; Goulet, H.; & Redford, A. J. Sawfly GenUS: Guide to Symphyta genera of North America and species of economic significance. USDA/APHIS PPQ IDtools. Source worksheet: Sawfly.csv.",https://idtools.org/sawfly/index.cfm
CAND3297,Zadiprion ojedae,,Other insects,species,,,Insect host / plant tissue use,larval host,leaf/stem/seed/plant tissue,larva,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,"Baine, Q.; Looney, C.; Monckton, S. K.; Smith, D. R.; Schiff, N. M.; Goulet, H.; & Redford, A. J. Sawfly GenUS: Guide to Symphyta genera of North America and species of economic significance. USDA/APHIS PPQ IDtools. Source worksheet: Sawfly.csv.",https://idtools.org/sawfly/index.cfm
CAND3298,Buprestis,,Beetles,species,Buprestidae,,Insect host / plant tissue use,parasitized by partner,leaf/stem/seed/plant tissue,,Host nursery / food plant,B - sourced host workbook,Central Texas dataset,0.85,GloBI via Central Texas Host Identifier workbook export,"GloBI via Central Texas Host Identifier workbook export (May 20 build). Global Biotic Interactions provides access to species interaction data; cite GloBI as: Poelen, J. H., Simons, J. D., & Mungall, C. J. 2014. Global Biotic Interactions: An open infrastructure to share and analyze species-interaction datasets. Ecological Informatics 24:148-159. DOI: 10.1016/j.ecoinf.2014.08.005. GloBI also recommends citing original indexed data contributors when row-level references are available.",https://www.globalbioticinteractions.org/|https://doi.org/10.1016/j.ecoinf.2014.08.005
CAND3298,Hylastes nigrinus,,Beetles,species,Curculionidae/Scolytinae,,Pollinator / adult flower use,wood/host association,flower/nectar/pollen,larva/adult,Host nursery / food plant,B - sourced host workbook,Texas records,0.85,Texas Host Plants verified-data.csv,"Atkinson, T. H. Bark and ambrosia beetles of the Americas. Host/distribution database for Scolytinae and Platypodinae. Source worksheet: beetle_data_results_texas.csv.",https://barkbeetles.info/americas_index.php
CAND3298,Pityoborus comatus,,Beetles,species,Curculionidae/Scolytinae,,Pollinator / adult flower use,wood/host association,flower/nectar/pollen,larva/adult,Host nursery / food plant,B - sourced host workbook,Texas records,0.85,Texas Host Plants verified-data.csv,"Atkinson, T. H. Bark and ambrosia beetles of the Americas. Host/distribution database for Scolytinae and Platypodinae. Source worksheet: beetle_data_results_texas.csv.",https://barkbeetles.info/americas_index.php
CAND3298,Pityophthorus pullus,,Beetles,species,Curculionidae/Scolytinae,,Pollinator / adult flower use,wood/host association,flower/nectar/pollen,larva/adult,Host nursery / food plant,B - sourced host workbook,Texas records,0.85,Texas Host Plants verified-data.csv,"Atkinson, T. H. Bark and ambrosia beetles of the Americas. Host/distribution database for Scolytinae and Platypodinae. Source worksheet: beetle_data_results_texas.csv.",https://barkbeetles.info/americas_index.php
CAND3298,This species,,Beetles,species,Curculionidae/Scolytinae,,Pollinator / adult flower use,wood/host association,flower/nectar/pollen,larva/adult,Host nursery / food plant,B - sourced host workbook,Texas records,0.85,Texas Host Plants verified-data.csv,"Atkinson, T. H. Bark and ambrosia beetles of the Americas. Host/distribution database for Scolytinae and Platypodinae. Source worksheet: beetle_data_results_texas.csv.",https://barkbeetles.info/americas_index.php
CAND3298,Cecidomyia brevispatula,,Other insects,species,,,Insect host / plant tissue use,gall host,leaf/stem/seed/plant tissue,larva/immature,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,Gallformers.org. Plant gall identification database and host/gall records. Source worksheet: gall_host_data_part2.csv; row-level Gall ID and gall name retained when available.,https://www.gallformers.org/
CAND3298,Cecidomyia resinicola,,Other insects,species,,,Insect host / plant tissue use,gall host,leaf/stem/seed/plant tissue,larva/immature,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,Gallformers.org. Plant gall identification database and host/gall records. Source worksheet: gall_host_data_part2.csv; row-level Gall ID and gall name retained when available.,https://www.gallformers.org/
CAND3298,Neodiprion taedae linearis,,Other insects,species,,,Insect host / plant tissue use,larval host,leaf/stem/seed/plant tissue,larva,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,"Baine, Q.; Looney, C.; Monckton, S. K.; Smith, D. R.; Schiff, N. M.; Goulet, H.; & Redford, A. J. Sawfly GenUS: Guide to Symphyta genera of North America and species of economic significance. USDA/APHIS PPQ IDtools. Source worksheet: Sawfly.csv.",https://idtools.org/sawfly/index.cfm
CAND3298,Sirex nigricornis,,Other insects,species,,,Insect host / plant tissue use,larval host,leaf/stem/seed/plant tissue,larva,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,"Baine, Q.; Looney, C.; Monckton, S. K.; Smith, D. R.; Schiff, N. M.; Goulet, H.; & Redford, A. J. Sawfly GenUS: Guide to Symphyta genera of North America and species of economic significance. USDA/APHIS PPQ IDtools. Source worksheet: Sawfly.csv.",https://idtools.org/sawfly/index.cfm
CAND3298,Sirex noctilio,,Other insects,species,,,Insect host / plant tissue use,larval host,leaf/stem/seed/plant tissue,larva,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,"Baine, Q.; Looney, C.; Monckton, S. K.; Smith, D. R.; Schiff, N. M.; Goulet, H.; & Redford, A. J. Sawfly GenUS: Guide to Symphyta genera of North America and species of economic significance. USDA/APHIS PPQ IDtools. Source worksheet: Sawfly.csv.",https://idtools.org/sawfly/index.cfm
CAND3298,Xyela gallicaulis,,Other insects,species,,,Insect host / plant tissue use,gall host,leaf/stem/seed/plant tissue,larva/immature,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,Gallformers.org. Plant gall identification database and host/gall records. Source worksheet: gall_host_data_part2.csv; row-level Gall ID and gall name retained when available.,https://www.gallformers.org/
CAND3298,Xyela gallicaulis,,Other insects,species,,,Insect host / plant tissue use,larval host,leaf/stem/seed/plant tissue,larva,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,"Baine, Q.; Looney, C.; Monckton, S. K.; Smith, D. R.; Schiff, N. M.; Goulet, H.; & Redford, A. J. Sawfly GenUS: Guide to Symphyta genera of North America and species of economic significance. USDA/APHIS PPQ IDtools. Source worksheet: Sawfly.csv.",https://idtools.org/sawfly/index.cfm
CAND3299,Acantholyda thalictra,,Other insects,species,,,Insect host / plant tissue use,collected from,leaf/stem/seed/plant tissue,,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,"Baine, Q.; Looney, C.; Monckton, S. K.; Smith, D. R.; Schiff, N. M.; Goulet, H.; & Redford, A. J. Sawfly GenUS: Guide to Symphyta genera of North America and species of economic significance. USDA/APHIS PPQ IDtools. Source worksheet: Sawfly.csv.",https://idtools.org/sawfly/index.cfm
CAND3299,Cembrotia coloradensis,,Other insects,species,,,Insect host / plant tissue use,gall host,leaf/stem/seed/plant tissue,larva/immature,Host nursery / food plant,B - sourced host workbook,not state-filtered,0.85,Texas Host Plants verified-data.csv,Gallformers.org. Plant gall identification database and host/gall records. Source worksheet: gall_host_data.csv; row-level Gall ID and gall name retained when available.,https://www.gallformers.org/
